movieId,bias,vector,title
131631,-0.15922352028212303,"-0.918960689190004,0.24978568654458,-0.372438355080394,-0.140650783882196,0.0097166575270173,0.727805639930794,0.374908082047039,0.405083903765951,0.392258959824403,-0.103114343519276",The Hunger Games: Mockingjay - Part 1
2142,-0.0917994276676534,"0.756886670782852,-0.236226668469117,0.278460365545744,-0.199741562274533,-0.0794732714717411,-0.341223994659486,-0.291055957692059,-0.0437798315573631,-0.20270395675512,0.132026754053501",Cop Land
8358,-0.106103313986973,"0.0435479035244766,0.0391952287579468,-0.182902667149948,0.09348318426272,0.32296129677317,-0.157590348517473,-0.0294231388204397,0.567212007726822,0.00849334926558602,-0.00256864298311204",Cast Away
45269,-0.374308014713416,"-0.666684135110542,0.362498911342288,0.102399264289359,-0.0429507360153088,-0.0707357740398231,0.401530938219839,0.376035894041467,-0.400197784891596,0.0225924445634598,-0.108142808998114",The King's Speech
587,-0.26383258782893,"-0.378372130471596,0.200259328072452,0.192814898573417,0.336165173723389,0.250208089768837,0.0202096958184603,-0.208803935320577,0.123439781697912,-0.206424112972196,-0.01270772760201",Big Fish
808,0.0235164287355621,"0.103046995695901,-0.0306069956281846,-0.399896627703483,0.137389697449422,0.408462979492842,-0.259766120220979,0.0961621793851552,0.756632003619623,0.0729586138163932,-0.493803914760109",Shrek
585,-0.0629637000167108,"-0.132970691038828,0.0642074354329671,-0.345305919283842,0.140970359375727,0.406807723304191,-0.0699351110809963,0.183118476579739,0.605174847637236,0.0382643911712142,-0.586674662539293","Monsters, Inc."
672,-0.41595144632406506,"-0.0523427589948601,-0.0779936668543933,-0.680188676380933,0.290341891966882,0.203409836197533,0.0202141542327118,0.275344998012962,0.410234079408991,0.1842729184051,-0.451126976872786",Harry Potter and the Chamber of Secrets
10229,-0.064055910603477,"-0.654464138038467,0.170858810355712,-0.432197706107501,0.464442713439334,-0.194891233347782,0.228471881737251,0.388874775389152,0.37491389759505,0.528703345275127,1.03624904656644",A Walk to Remember
809,-0.473738532599807,"-0.0558243467569765,-0.00084446926829055,-0.438296520301347,0.351459910682014,0.240690910783416,-0.0424477279194165,0.104006992480752,0.378452826469925,0.154435711904116,-0.367472461697436",Shrek 2
10474,0.0552775455153185,"0.680055834586948,-0.0760781629032224,0.17934425782229,-0.384005871147411,-0.295269991433729,-0.0694443350000442,-0.128511068811062,-0.134796260067724,-0.0982197014638652,0.191245034873978",The Basketball Diaries
489,0.197508889641897,"-0.0113766576933078,0.0373075633429486,0.304314688722955,0.0823363197320863,0.290127841359158,-0.308436542162285,-0.238289846903765,0.349547602346948,-0.229643178830238,0.166928287549838",Good Will Hunting
9430,-0.118988187451165,"0.562554079520417,-0.100226379079039,0.256260659746848,0.0454486476920064,0.151750760841483,-0.41169486766651,-0.501341823043829,0.170429834990615,-0.416361117710616,0.406644213556831",Go
2898,-0.152961282300939,"0.416324004465206,-0.390022781518968,0.164958159800881,-0.0895852312968133,0.0686911246532275,-0.250057702647551,-0.208822529372059,0.412542918942799,-0.193214808650053,0.253812602169017",As Good as It Gets
9403,-0.0909715780147724,"0.949588971390778,-0.3525325188437,0.126038390804266,-0.401527229562519,-0.345338081349114,-0.226940589303663,-0.242054164906352,-0.00709783777475052,-0.0357572657559497,0.390567064219935",Private Parts
10220,-0.12259057562197098,"0.348197124728736,0.0871241600774241,0.234405103449574,0.0183901647097719,0.381740151866773,-0.577804078545894,-0.193714849596388,0.124423081375458,-0.233677399109138,0.0874562977029647",Rounders
9303,-0.136589086274275,"1.02227841075194,-0.201645139104253,0.396406396674195,-0.289682711469189,-0.345504080588442,-0.319364506705227,-0.403105806699639,-0.337777970985238,-0.287980143594162,0.334589065716707",Bound
1770,-0.100932724128854,"0.952098714918277,-0.357608526425808,0.1048280459085,-0.423809817012995,-0.43995829149121,0.0505855903044809,-0.335519418102584,-0.08521317087302,-0.0348847383243652,0.422165875141979",Michael Collins
547,-0.0325711066412111,"0.523487958279475,-0.334888087267589,0.0658566350248031,0.0760026092198667,-0.38346172145019,-0.205413158603677,-0.174935183645914,0.108517945869264,0.272964212748949,0.671393049594854",The Horse Whisperer
846,-0.0639495575260702,"0.646601841110972,-0.521604096264126,-0.127861425859335,-0.176085406962261,0.202373774827981,-0.364804690773789,-0.346077532770486,0.275073175056962,-0.171499433880059,-0.0221689752723507",The X Files
98,0.35034348051349296,"-0.0392770050198912,0.537324301116785,-0.376139860105733,0.278876984162247,0.420375695117511,-0.679499960209761,-0.116428237242937,0.651513195023933,0.062447308767571,-0.507769649290266",Gladiator
824,-0.245916292546944,"-0.115035985770779,-0.158450878139443,-0.16668167634549,0.388622160744733,0.18586384867913,0.124898382287316,-0.111197904346216,0.449020755551561,-0.132647751341349,0.129183280740793",Moulin Rouge!
9598,-0.253218812231696,"0.877983210739178,-0.466661952095099,0.363758428655253,-0.225434208812979,-0.555851953359051,-0.0717287754586397,0.0234085776886778,-0.239461396116626,-0.280727966764187,0.275118485403857",Babe
7345,-0.0544172024112878,"-0.543116174012903,0.916294711430921,0.647388693239396,-0.0471713938252999,0.0192756637376691,-0.0409724189551841,-0.0481414030163425,-0.666587781093895,-0.346556517907378,-0.112085546172551",There Will Be Blood
1832,-0.36670520199784,"0.224049952979648,-0.209262973130608,0.118125052676196,0.130776226480924,0.310945170984531,-0.213006547494578,-0.459242863163398,0.3663820740436,-0.219602936750283,0.0762747551645133",Dogma
152601,-0.0654865754149252,"-0.807220863861858,0.759424201054224,0.275196151439596,-0.404064299828664,-0.124471067964075,0.545207786135139,0.340936526737557,-0.402868756896578,-0.00739715348004007,-0.378774847730267",Her
8963,-0.36695946884387204,"1.02823815854345,0.0113885299678199,0.114314850190803,-0.245500056342168,-0.693444521312,-0.406548361948263,0.0835788711856973,-0.736753738476587,0.0969380133483221,0.0648299084527436",Crimson Tide
85350,-0.223217705622201,"-0.478797179550975,0.820888789241522,0.0226598114572542,-0.259232943636707,-0.239062407331695,0.639688908809138,0.166580374423607,-0.30236156453059,0.0224118940885261,-0.447416905298065",Boyhood
602,0.0311187864908597,"0.878331387244117,-0.057632999634368,-0.583069313963675,-0.333734822823061,-0.554405779864842,-0.354770631223112,0.194368680999274,-0.610733068446107,0.417987871261499,-0.26614162044012",Independence Day
401,0.11869891888386899,"-0.370702909789931,0.43716908333499,0.175277980481108,0.638688062733259,0.271004161015522,-0.20002915907439,-0.267997804356261,0.0680359979696771,-0.346033863844154,0.224584153370397",Garden State
9390,-0.248490264960282,"0.671568231526682,-0.48942868887056,0.0980450540445846,-0.229748906047308,-0.313664682291401,-0.114658890307655,-0.035907877826747,-0.14185028587602,-0.0228622745335068,0.381869270981666",Jerry Maguire
11000,-0.31576220865873306,"0.99019910275553,-0.410643106903255,0.104167190542941,-0.336246418057398,-0.74284643365831,-0.0268825117107881,0.175566080657955,-0.712315432941614,0.0196803016464714,0.348586058130255",The Birdcage
509,0.24030726271447603,"0.135992354980783,-0.574599862263607,-0.238944367278584,0.244619310206398,-0.223234962056996,0.238814224051139,-0.000714814704041204,0.639763862692271,0.171471342915799,0.404554534411736",Notting Hill
2275,-0.0888892903399747,"0.394528017821168,-0.617437164470492,-0.0281528304383005,0.0826930628489961,0.0224510631713491,-0.354444571309878,-0.119965594828409,0.365806461833935,0.0458852679209408,0.781696622350101",The General's Daughter
1946,7.922560564805451e-05,"0.439966371711308,-0.0630555873429589,0.225514945366025,-0.159327552146585,0.220581942860003,-0.428387441637757,-0.361398367368909,-0.225917210827293,-0.446535152465405,-0.0456976526412033",eXistenZ
6521,-0.17473845020456602,"0.633646275300647,-0.389756504983638,0.208801261153885,0.372997289791707,-0.125818386588296,-0.377291861444708,-0.201614670228332,-0.0235201484377663,-0.125548630542998,0.608458055038411",The Contender
46705,-0.120906084688545,"-0.406257889648775,0.786859859364266,0.0860670541727899,-0.143787297725709,-0.0318694719279199,0.54863286646687,0.14831987748038,-0.254557504954927,-0.184598296689836,-0.479624871721307",Blue Valentine
9802,0.0144122667240153,"0.990811217733669,-0.156097398520149,-0.385040551113948,-0.285366489611494,-0.414097846157318,-0.53643753861557,0.00793759105038368,-0.470736802781942,0.3274862347702,-0.0479119559770195",The Rock
558,-0.348130744175662,"-0.0306831858052458,0.275152717427257,-0.304240731565593,0.234952402487914,0.292213719374736,-0.244414432862232,-0.055885782217676,0.172841413693855,0.126281505915564,-0.443599620075447",Spider-Man 2
2118,-0.23097341661684803,"0.393667264738114,-0.255583373873361,0.661190236192554,-0.037570879490398,0.195496308903287,-0.546190296096266,-0.599211434713674,0.362991974674724,-0.434753997290709,0.300606473123989",L.A. Confidential
607,-0.0261666366319858,"0.50236032425193,-0.242224156189049,-0.390381162551811,-0.269688400936229,0.0466930860379424,-0.42375179894163,-0.140112742970329,0.327179927218985,0.251416838282862,-0.385219625679876",Men in Black
2649,-0.20514680998579,"0.254105710326582,0.0540135223916096,0.146701910161663,-0.128185618591777,0.176049016213422,-0.400906243882582,-0.375436161952898,0.142234588785231,-0.147125113082365,0.0270364859828977",The Game
2024,-0.49147633689462294,"0.321251701769026,-0.22053566207434,-0.4018407231363,0.0266936106615709,0.199065847886399,-0.265571329683628,-0.072049660247575,0.497809994826827,0.150016765410558,-0.0918686893210325",The Patriot
7326,-0.304499889459858,"-0.64848217902502,0.303422147584561,0.20888797232991,0.247830927877659,0.0664263562622934,0.311704544051429,0.137710687664277,-0.0928762372800086,-0.184642320919737,0.166838227637757",Juno
745,0.251633565878309,"0.162297429469485,0.0964725844156419,0.108520505366996,0.0649568028054203,0.354732334768338,-0.639412989105544,-0.373571169719893,0.738080646935484,-0.203624453961994,-0.116732633062747",The Sixth Sense
7443,-0.4884606587678921,"0.301235499157336,-0.426559203891819,-0.130162972458104,0.208885049174027,0.152878702077857,-0.0733349445988325,-0.231740791330275,0.590425775932597,-0.178943273255899,-0.0238801737790287",Chicken Run
603,0.694076548837905,"-0.265996828952409,0.610849594586048,0.0324818966163558,0.295117857409963,0.349964635821998,-0.863774691401384,-0.466662792667556,0.365201702921774,-0.12978744461157,-0.489252728041112",The Matrix
120,0.4004716317010801,"-0.338152408321668,0.80659077360867,-0.0405686817250625,0.360180930325265,0.472022980871318,-0.719672397097848,-0.0255800652054375,0.61416974325736,-0.236258604976566,-0.651809626179122",The Lord of the Rings: The Fellowship of the Ring
557,-0.305168257068073,"0.0574610449089022,0.183077723043407,-0.415322222384002,0.26146057208763,0.378460025287941,-0.365969023368503,-0.0867844448950634,0.477114030795731,0.129425403402304,-0.517848673918041",Spider-Man
121,0.36786817688673706,"-0.368100831681284,0.7905734444735,-0.127489028107924,0.384281481520757,0.437507779922716,-0.637232223600837,0.0511575829729479,0.516735140748267,-0.135164911723402,-0.713375467980505",The Lord of the Rings: The Two Towers
857,0.3696034900565539,"0.249977281907049,0.303594945215924,0.0114307119461552,-0.160222129681602,0.230079212485615,-0.768256191827484,-0.298254260901863,0.428583871727356,-0.0429935450409035,-0.288349137860755",Saving Private Ryan
107,-0.0369280455110547,"-0.359609525130381,0.558806505041073,0.361341384717361,0.437254116605211,0.430681627566601,-0.408577125012718,-0.460100581680372,0.0915862060837665,-0.178917480395657,-0.187918977464547",Snatch
180,0.0710161621208957,"0.0208515179317756,0.38102765640915,-0.126781549346051,0.266481087954898,0.357590700900425,-0.507193434299134,-0.212981899695738,0.370283224768399,0.019741266616794,-0.355717029147736",Minority Report
608,-0.19414670595460898,"-0.480317504625582,-0.222835457006675,-0.469106446550815,0.347685793852316,0.405869748298584,0.0571632228950962,0.12291350960588,0.379694767941576,0.156173505155721,-0.0283053064872821",Men in Black II
1389,-0.0119713876904729,"0.769686259314136,-0.409276493214341,0.368870995104645,-0.0909080057992717,-0.0638541600576247,-0.410768847849244,-0.513877611965937,0.0959042501431946,-0.347308459651366,0.28315761834254",Out of Sight
1844,-0.138436668085824,"0.195577400557229,-0.613782420600773,-0.206212172810544,0.161661321170514,0.151830562301815,-0.242999875391179,-0.0742142570772065,0.536917540699144,0.0829947985118308,0.513914817510456",Entrapment
1894,0.0257957634238089,"-0.088604167602785,-0.0664854350056167,-0.617848587987594,0.356554949859179,0.579660620391177,-0.286307271522002,-0.198240732038138,0.415072255949849,0.118913469243442,-0.49712744406498",Star Wars: Episode II - Attack of the Clones
710,-0.31224875990566303,"0.910422769906253,0.0243021246651204,-0.193977949433111,-0.230766084573253,-0.53193498729463,-0.443077315758473,0.0660307858538164,-0.493027750162776,0.212328002470127,-0.170225883531005",GoldenEye
425,-0.331585509361595,"-0.185775107312418,-0.0370427580305551,-0.47271357036132,0.306522586028153,0.254460891846543,0.0664006405391767,0.120595080159178,0.343402892363805,0.21139018000498,-0.317017489885956",Ice Age
9798,-0.515816285535821,"0.438496479383978,-0.21969909913593,-0.255733548199875,-0.174541359853211,0.0711248141671273,-0.382349117353683,-0.0626662352669753,0.292558115055207,0.178766852943233,-0.0947173631233253",Enemy of the State
768,-0.0705260745205045,"-0.159002282256959,-0.0742695555552328,0.106958829815168,0.329614389775975,0.390715014099034,-0.329680941654965,0.0542543355918666,-0.025470890206504,-0.107148020640341,0.189579846345756",From Hell
4614,-0.0883039066288267,"0.0120440017785676,-0.252498659522568,0.0595905071607803,0.444952318067972,0.177901156282456,-0.555357676525904,0.175520251000374,0.214721564562662,0.091299611409733,0.37419676282787",The Sum of All Fears
4327,-0.0088560961431141,"0.0443390627609579,-0.633305540145692,-0.360844798795748,0.378466661987699,0.167919361861809,-0.120633385030079,-0.238847397280941,0.568726076462629,-0.0421738070256125,0.435551752513564",Charlie's Angels
11467,-0.10658068558193902,"-0.0106398842602942,-0.386103933666771,-0.121503274485335,0.522629795432284,-0.22062527967627,-0.290868085507908,0.178770746305475,0.376369977705615,0.294853910928613,0.977667311351557",America's Sweethearts
8545,-0.125776873322998,"0.910447531612417,-0.351417459351207,0.214109019834376,0.143543497037502,-0.457465040804398,-0.225597682227636,-0.32944297322753,-0.126321764975151,-0.0724868854537461,0.463056552588565",Little Voice
10528,-0.463930473048264,"-0.543305422497304,0.238437346290954,-0.218174631004645,-0.073605881640657,0.0995813297212226,0.30189876583257,0.371175479576179,-0.195781363946378,0.26644381049658,-0.36656165603489",Sherlock Holmes
807,0.445580844717948,"0.256129792249836,0.538372383086612,0.438869725045247,0.460330928162997,-0.170739244930454,-0.579014259647799,-0.440390405515433,-0.46415917242659,-0.255238657150255,0.0300479207724101",Se7en
18,-0.0893081543917915,"0.231325910273024,0.0968337852460463,-0.0901052882522696,-0.0214805241366106,0.109214976521582,-0.542577037246717,-0.460309703250777,0.103547987432391,0.0854203037911833,-0.35707580434091",The Fifth Element
2503,-0.217448754311383,"-0.48286957091315,0.73894957788348,-0.191004009572352,0.240120176304284,0.229618561054884,-0.214240014631694,0.221391956923492,-0.180758871520501,0.327450108904366,-0.561981113626364",The Bourne Ultimatum
8363,-0.0829162975311788,"-0.750816612378285,0.658383155084276,0.207779169072771,0.0997474462809139,0.287896077456743,0.102758703725768,0.192034409210516,-0.0629938226695335,-0.0481818481767038,0.0247165809438868",Superbad
13885,0.0064716902276489895,"-0.723196231752348,0.438820290800108,-0.00949407764556763,0.170728145595066,0.17738827261937,0.211651736563507,0.242036852167763,-0.000287624256155393,0.11248327899665,-0.0423292420357898",Sweeney Todd: The Demon Barber of Fleet Street
10681,-0.0255907406836064,"-0.81085009048464,0.435403172668424,-0.0104809766931407,-0.0373473745659421,0.164773159565928,0.209470881354398,0.235220412915228,-0.266999865867229,0.0338405406434353,-0.455090451907282",WALL·E
627,-0.10844073189858199,"0.0721904440525368,-0.0582792771535109,0.936229874541432,0.0862920971300421,0.0338248108821769,-0.142867413785559,-0.616166835167804,-0.295034974352739,-0.494174483932218,0.4523172717961",Trainspotting
1830,-0.0612249336692671,"-0.589328911474367,0.632094589440583,0.192984122765988,0.100581206318198,0.582878885183737,-0.250839567355917,0.0509432749768023,-0.00727700412070399,-0.0794709122280751,-0.252704302820067",Lord of War
563,-0.49313913997313397,"0.366142068789941,-0.247500440774644,-0.0539504288920831,-0.220694424955284,0.171828799142193,-0.369318323560464,-0.400396414929036,0.132202843450916,-0.0119125342082348,-0.143520716225769",Starship Troopers
19995,-0.23905636548321602,"-0.615229141483384,0.424277332324248,-0.24413869730299,-0.13071033121179,0.122093432554097,0.197046094828774,0.40438536060136,-0.195247858944756,0.290576753758081,-0.506303640163516",Avatar
286217,-0.41437610000337705,"-0.708482648733426,0.465134743258344,-0.0437219628275698,-0.304779651995787,-0.0475530640197919,0.405861055339744,0.481128894500889,-0.450911320339764,0.200474278308783,-0.449642916631819",The Martian
2770,-0.124714312328866,"-0.364384665061298,-0.380686528790599,-0.218052188309604,0.392231678236847,0.468666908576104,-0.158501463608182,0.127562731063533,0.57923358450487,0.115233875388918,0.529205976477448",American Pie 2
10674,0.20568955959700397,"-0.148658234351601,-0.562195848027508,-0.494079019809116,0.074165790728827,-0.339370371463211,0.53616251917796,0.03958444915145,0.248244636690809,0.339560020992223,-0.0576993821385679",Mulan
8916,-0.0660164533201697,"0.203440715543904,-0.509180788212397,-0.0836327314605119,0.173996326741607,-0.00877431831200855,0.00872311345062258,-0.316048164158206,0.367100412683175,0.00346518545587608,0.247111002687546",Antz
38,0.19757194205329298,"-0.787723019915703,0.418015764032209,0.686919506302641,0.455941267584182,0.405101415244057,0.0672469569274673,-0.364897750478754,0.0420376314158193,-0.547267541684492,0.0710720301654692",Eternal Sunshine of the Spotless Mind
197,0.49606160000056,"0.890906020698312,0.453223641367016,-0.0731590348121833,0.155833187637273,-0.427602240204117,-0.867741142958902,-0.193242830249916,-0.257151498471632,-0.0506338153339717,-0.175231629249234",Braveheart
786,-0.22686394083444397,"0.0604701695826029,-0.225113171292309,0.176548465776861,0.261188666409373,0.284052579776908,-0.0885749901157761,-0.327039379123778,0.637085709884257,-0.398180947270407,0.310560029001979",Almost Famous
687,-0.351176679805021,"0.8341454580655,-0.454550539855956,0.547838607022352,-0.295466092249845,-0.517435573744313,-0.0698940704204001,-0.107013535697855,-0.606088254358472,-0.286838072641051,0.654971874091569",Dead Man Walking
9440,-0.126332831023189,"0.916560441058125,-0.356440950906078,0.210644162535714,-0.0491033173887962,-0.532872647519794,-0.166188258838579,-0.312196967966551,-0.100995774566596,-0.0982267813303021,0.284690252358994",Primary Colors
3558,0.0795286170574002,"0.0646492895166273,-0.0710932279200899,0.0272284813433177,0.349004375454372,-0.070054131383253,-0.0829857477591857,-0.105646139013752,0.0991116087710777,-0.0498941458618405,0.59623792285479","Girl, Interrupted"
8584,-0.0442464671061019,"0.00612311576096907,-0.527548325518557,-0.300136166250059,0.313019071169541,0.173787302734865,-0.128832142641502,-0.152134604096819,0.420538955286148,-0.0672152295162637,0.332278818452847",Shanghai Noon
10637,0.0266987790054935,"-0.0789403125174436,-0.174293602834158,-0.497492585036257,0.432117707820786,0.223152439617655,-0.160186364652053,0.164527515516852,0.553177461790919,0.216271706835501,0.0824911896758092",Remember the Titans
2034,-0.0724054658991864,"-0.121705484008265,0.362871601621094,0.121353270130093,0.312743652382651,0.522551396285492,-0.462742326110344,-0.123152014152477,0.184545752556312,-0.225565788742457,0.00826410879149703",Training Day
431,0.0339466688184941,"-0.0559559539709082,0.0572583140716658,0.0693749384356336,-0.00156275410877506,0.661593486618584,-0.41117900059998,-0.352742333558825,0.00892998212726825,-0.38894889562094,-0.147866480723906",Cube
9472,-0.0616007469053222,"-0.410165893554676,0.0637665263107084,-0.157616153684852,0.366613245316077,0.385482587660618,-0.0936243093490749,0.266854819206637,0.252889480467631,0.0642498237111366,0.23312050594037",DodgeBall: A True Underdog Story
12665,0.0096302562039049,"0.953415915087578,-0.666515593951144,0.0113021883395533,-0.360872916544782,-0.438352583684771,0.0292669969616119,-0.023982360967326,-0.0547605732262357,0.0519819755287343,0.320549395675499",Powder
1954,-0.364875957671389,"-0.453185073532635,0.324943156192037,-0.10596988150689,0.144133258615197,0.248391844735126,0.0356410984084985,0.0728822500059079,0.0611367470218098,0.0917875716618397,-0.10618756322422",The Butterfly Effect
51876,-0.11281333003391301,"-0.861596057690517,0.443433151109042,-0.0858657905389464,-0.255268689066763,0.178762550396239,0.475466060003919,0.502447988263699,0.0190155574359835,0.200907101865365,-0.310352575879252",Limitless
228150,-0.208682608876752,"-0.79164363114188,0.598227974560669,-0.153478671235802,-0.307885576409658,0.210120102108877,0.429486165534626,0.337868210870123,0.195810984439303,0.16904324747218,-0.364901217277777",Fury
4421,-0.130696709150364,"0.530441166083683,-0.65914488519144,-0.0482869064828862,-0.219003971143936,-0.0675914649776204,-0.280667671294332,-0.180340061445125,0.329493524248696,0.113755479099811,0.423020680468602",G.I. Jane
1382,-0.00848374383496679,"-0.0245519711846543,0.57203593371013,0.354505252128616,0.248370671982205,-0.206274702219326,0.236349890802395,0.132834514014214,-0.480202542728538,-0.349285688451481,-0.463691594962847",Me and You and Everyone We Know
117263,-0.262356958957543,"-0.888570530068793,0.498628095623842,-0.277410052096225,-0.282723677491825,0.320783509278968,0.279073113739521,0.241205931488519,0.453984547154779,0.434846089859049,0.19411954826938",Olympus Has Fallen
157350,-0.153668032587249,"-0.927641426224905,0.430388870502486,-0.335025285758768,-0.171292665146473,0.108161815339877,0.603120571430816,0.350737411997892,0.379138966670845,0.350802794174162,0.180101766844858",Divergent
10806,-0.29336217708165996,"0.754974822261628,-0.439313409965852,0.0990030272325916,-0.183577215328198,-0.429070173457564,-0.187125603293234,-0.293067296346617,0.0357994557651683,0.0549746512047841,0.536739809526034",In & Out
227159,-0.22516820071812102,"-0.65735889751676,0.617463402611182,-0.318547646055765,-0.306605922413506,0.269688015456258,0.316617529087689,0.383626326366508,0.42737453899765,0.410713521350928,0.162491843947337",Horrible Bosses 2
597,-0.0539161920683665,"0.236645590741201,-0.316025449243613,-0.145979231017718,-0.121942406412297,0.0508317441792998,-0.102997332527484,0.0930435171296084,0.426883671633675,0.0174959163884132,0.183044537909031",Titanic
926,-0.38794962024050705,"0.357037381206878,-0.389558495604248,-0.21265571292467,-0.0457192717339636,0.090072992874124,-0.205952389045525,-0.353132311498486,0.384874259104426,-0.0425094537315105,-0.193195962317617",Galaxy Quest
12498,-0.360606097904514,"0.491866335419485,-0.388766732250134,0.583983861252477,-0.0900861213955206,-0.0102982525289098,-0.213961318853587,-0.384461819496105,0.143914913606566,-0.413118268318933,0.498781658258795",Sling Blade
4995,-0.530777038680484,"0.357928052084199,-0.170050240623227,0.52537323073099,0.019254745941497,0.0230129232479818,-0.187177645768663,-0.506739863366265,0.125021987510565,-0.478531613855928,0.455061090284988",Boogie Nights
10193,-0.44727136329049794,"-0.588478241848804,0.181695545528912,-0.119267619794671,-0.138657389274789,-0.0277891922747795,0.359847447001219,0.364813677007557,-0.335347987419993,0.149097892000899,-0.393438611049477",Toy Story 3
272,-0.0433474711880714,"-0.378125916655099,0.71576892024178,-0.149572678476382,0.366428743775768,0.338047550557149,-0.375584874027273,-0.00676659155573303,-0.0124818660258846,0.0708898062246037,-0.612610370942291",Batman Begins
451,-0.353038799321791,"0.75315563048554,-0.367830022644506,0.661917919814809,-0.2172852423996,-0.424672719382721,-0.122729829391305,-0.243476626305605,-0.533077154310031,-0.318841081894938,0.642524542948569",Leaving Las Vegas
24428,-0.37999704352215297,"-0.654971303405556,0.356053846766077,-0.242522359596717,-0.213736371106433,-0.0524226030600099,0.397721030561208,0.507552115166964,-0.461156602952172,0.298560485575839,-0.591310140029652",The Avengers
18785,-0.29668921145006105,"-0.642460842165506,0.369721288465287,-0.134174088845744,-0.012258498248338,0.118984724689818,0.353829789169757,0.386417834089864,-0.167324889197068,0.2073941449204,-0.102533046664068",The Hangover
9603,-0.324999676330204,"0.686760736440315,-0.569884039934064,0.0160663040699653,-0.116141956789685,-0.604548355446697,0.249036144204518,0.134320623772428,-0.176458740646266,-0.0325086653821866,0.416131435255772",Clueless
10191,-0.41392402270921796,"-0.621637344555612,0.165245260002857,-0.319123941690104,-0.097661831301739,-0.0550794633365455,0.449523274798738,0.469458269181953,-0.304545718933704,0.336820325361354,-0.518657223670421",How to Train Your Dragon
863,-0.104373911459768,"0.340751903549533,-0.41509248707101,-0.252610518979381,-0.220129360549962,0.202414678518807,-0.205763409320194,-0.0327287041880807,0.707026338212531,-0.0493189918584275,-0.341013255763183",Toy Story 2
524,-0.236926723076686,"0.391269688436617,0.252628330469595,0.60953495992208,-0.0334929044689687,-0.15236127124319,-0.313628505463206,-0.322515259265991,-0.438436939235591,-0.272456244960174,0.297690636279252",Casino
568,0.0718708142264204,"0.85311612261225,0.183163314382942,0.127020627317173,-0.032328425069316,-0.486897958973115,-0.391599294342396,0.0518312616930748,-0.453839475694538,-0.105150791606758,0.0128196194023599",Apollo 13
629,0.7220045752444159,"0.246248509178077,0.382928925265617,0.757055467292224,0.49446614837583,-0.066589306930037,-0.710310682266017,-0.613310738481171,-0.32797471305516,-0.518617716891479,0.21445291943392",The Usual Suspects
24,-0.0559706382554523,"-0.421568709017254,0.584953679913075,0.385987093653038,0.412403331293113,0.39249147648343,-0.35345008030141,-0.37107311472461,0.0247914855153157,-0.290956003933402,-0.251514392958715",Kill Bill: Vol. 1
747,-0.28411651338713595,"-0.509511982746024,0.41023374831876,0.365418021564277,0.205303632000675,0.328511374929025,-0.046974963261456,-0.256416524838962,-0.231903174148764,-0.229567758738458,-0.135758221626011",Shaun of the Dead
